cid,poi_name,website,lat,lng,price_range_icons,reviews_no,price_range,tags,hours,photos,phone,reservations,online_visibility,address_text,is_closed,country,traffic,kwrd
0x1436896950eaf8cf:0x7df97bfcbe3b6a07,Riviera,https://www.fourseasons.com,30.0362362,31.2294568,,52,,"['Restaurant', 'Fine dining restaurant', 'Italian restaurant', 'Wine bar']","{'Saturday': '12:30–4\u202fPM', 'Sunday': '12:30–4\u202fPM', 'Monday': '12:30–4\u202fPM', 'Tuesday': '12:30–4\u202fPM', 'Wednesday': '12:30–4\u202fPM', 'Thursday': '12:30–4\u202fPM', 'Friday': '12:30–4\u202fPM'}",187+ Photos,02 27916875,"[['https://www.opentable.com/r/riviera-cairo', 'opentable.com', None, None, ',AOvVaw1kS9RFBDI9XcCvivKS1tIB,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCKwDKBI,']]",,"Riviera, 1089 Nile Corniche, El Nil, Cairo Governorate 11519",,EG,,restaurants
0x14584583461348a3:0xc19a2ae1750cbfa2,Tasty House Egypt restaurant - مطعم تيستي هاوس,,29.9875216,31.1325601,,623,,['Buffet restaurant'],"{'Saturday': '8\u202fAM–1\u202fAM', 'Sunday': '8\u202fAM–1\u202fAM', 'Monday': '8\u202fAM–1\u202fAM', 'Tuesday': '8\u202fAM–1\u202fAM', 'Wednesday': '8\u202fAM–1\u202fAM', 'Thursday': '8\u202fAM–1\u202fAM', 'Friday': '8\u202fAM–1\u202fAM'}",369+ Photos,011 55459305,,,"Tasty House Egypt restaurant - مطعم تيستي هاوس, امام فندق مينا هاوس, 19 Cairo - Alexandria Desert Rd, Kafr Nassar, Al Haram, Giza Governorate 12511",,EG,,restaurants
0x14597929ca9c2ae3:0x20f741919a612f42,Red Sea restaurant,,29.6603498,30.9739243,$$,139,Moderately expensive,['Seafood restaurant'],"{'Saturday': '9\u202fAM–3\u202fAM', 'Sunday': '9\u202fAM–3\u202fAM', 'Monday': '9\u202fAM–3\u202fAM', 'Tuesday': '9\u202fAM–3\u202fAM', 'Wednesday': '9\u202fAM–3\u202fAM', 'Thursday': '9\u202fAM–3\u202fAM', 'Friday': '9\u202fAM–3\u202fAM'}",99+ Photos,010 50083051,,,"Red Sea restaurant, نادي قارو الرئيسي بجوار coffe time, Faiyum Desert Rd, Faiyum, Faiyum Governorate 63514",,EG,,restaurants
0x145975b941ebd73f:0x368b147611372000,Sohor Spot - سحور سبوت,https://www.facebook.com,29.4931558,30.87901,,4,,['Restaurant'],"{'Saturday': '4\u202fPM–4\u202fAM', 'Sunday': '4\u202fPM–4\u202fAM', 'Monday': '4\u202fPM–4\u202fAM', 'Tuesday': '4\u202fPM–4\u202fAM', 'Wednesday': '4\u202fPM–4\u202fAM', 'Thursday': '4\u202fPM–4\u202fAM', 'Friday': '4\u202fPM–4\u202fAM'}",,010 17327349,,,"Sohor Spot - سحور سبوت, الكيلو 48 طريق مصر الفيوم طريق مصر",,EG,,restaurants
0x145840cf12c1589b:0xa94ad7bf954816dd,Birdcage,https://www.ihg.com,30.0429229,31.2320766,,548,,['Thai restaurant'],"{'Saturday': '12\u202fPM–12\u202fAM', 'Sunday': '12\u202fPM–12\u202fAM', 'Monday': '12\u202fPM–12\u202fAM', 'Tuesday': '12\u202fPM–12\u202fAM', 'Wednesday': '12\u202fPM–12\u202fAM', 'Thursday': '12\u202fPM–12\u202fAM', 'Friday': '12\u202fPM–12\u202fAM'}",549+ Photos,02 27988000,"[['https://bit.ly/32s8E1K', 'bit.ly', None, None, ',AOvVaw3JdiiibMln2MnmuXdwyP8U,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCNEEKBQ,']]",,"Birdcage, Semiramis InterContinental Hotel، Corniche El Nile، Qasr Ad Dobarah, Qasr El Nil, Cairo Governorate 11511",,EG,,restaurants
0x145855b620e55067:0x1d2cf461dcf5ff0d,Zombie Restaurant,,29.9477877,30.9143147,$$,13,Moderately expensive,['Restaurant'],"{'Saturday': '9\u202fAM–2\u202fAM', 'Sunday': '9\u202fAM–2\u202fAM', 'Monday': '9\u202fAM–2\u202fAM', 'Tuesday': '9\u202fAM–2\u202fAM', 'Wednesday': '9\u202fAM–2\u202fAM', 'Thursday': '9\u202fAM–2\u202fAM', 'Friday': '9\u202fAM–2\u202fAM'}",,010 17477555,,,"Zombie Restaurant, مول اجياد - بجوار مستشفى اكتوبر العام و رنين, Giza Governorate 12311",,EG,,restaurants
0x14584f9c8dc493e5:0x5b2d1ac0043325c8,Paradise Pyramids View Restaurant,,29.969456,31.1451284,,5,,['Restaurant'],"{'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours'}",12 Photos,010 40387910,"[['https://www.booking.com/hotel/eg/ra-pyramids-apartment.en-gb.html?aid=318615&label=New_English_EN_EG_26745747745-QBEn3Je11XsNa%2A2ZEtlQZAS637942139669%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-195218866105%3Alp1005394%3Ali%3Adec%3Adm%3Aag26745747745%3Acmp393949945&sid=f8605481d572a8fd86322c3832aa49af&all_sr_blocks=1233791613_395340360_2_41_0&checkin=2025-04-14&checkout=2025-04-15&dest_id=-290692&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=3&highlighted_blocks=1233791613_395340360_2_41_0&hpos=3&matching_block_id=1233791613_395340360_2_41_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1233791613_395340360_2_41_0__1000&srepoch=1741897010&srpvid=8e0a8e966aa00275&type=total&ucfs=1&', 'booking.com', None, None, ',AOvVaw11FCsTIxYLlQPFmAQkiA97,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCKMFKBM,']]",,"X49W+R25 Paradise Pyramids View Restaurant, المستشار سمير النجار, Al Haram, Giza Governorate 3514310",,EG,,restaurants
0x1459a3e982947ead:0x427def0a92bab779,كافيتريا الفارس,,29.5183222,31.0742799,,110,,['Restaurant'],"{'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours'}",7 Photos,011 21288294,,,"كافيتريا الفارس, Tamiya, Faiyum Governorate 2977174",,EG,,restaurants
0x14584196e69d35fb:0xe8ec826c0b633515,Giannini's New York Italian Restaurant,https://www.marriott.com,30.0393584,31.2202868,,566,,"['Italian restaurant', 'Restaurant']","{'Saturday': '12\u202fPM–12\u202fAM', 'Sunday': '12\u202fPM–12\u202fAM', 'Monday': '12\u202fPM–12\u202fAM', 'Tuesday': '12\u202fPM–12\u202fAM', 'Wednesday': '12\u202fPM–12\u202fAM', 'Thursday': '12\u202fPM–1\u202fAM', 'Friday': '12\u202fPM–1\u202fAM'}",336+ Photos,010 22216883,"[['https://wa.me/+201022216883', 'wa.me', None, None, ',AOvVaw21U9ZLzzQ3zcEFu-6UKslS,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCPUFKBI,']]",,"Giannini's New York Italian Restaurant, Located in sheraton Cairo Hotel, Galae Square, Cairo Governorate",,EG,,restaurants
0x1436650588f76b2d:0xb80c0578b7f04f97,King Jamaica restaurant & Cafe and breakfast ( Ayman jamaica ) ايمن جاميكا,https://www.restaurantguru.com,24.0893254,32.8910096,,1117,,"['Restaurant', 'Bed & breakfast', 'Breakfast restaurant', 'Cafe', 'Chinese restaurant', 'Guest house', 'Hookah bar', 'Jamaican restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",,1592+ Photos,015 56699398,,,"King Jamaica restaurant & Cafe and breakfast ( Ayman jamaica ) ايمن جاميكا, Elephantine Island, Sheyakhah Oula, Aswan 1, Aswan Governorate 81111",,EG,,restaurants
0x14597930fd13ea8d:0x1119d58463749215,مطعم بيجي Biggy restaurant,,29.3232937,30.8539911,,18,,['Fast food restaurant'],,4 Photos,015 50032525,,,"8VF3+7HX مطعم بيجي Biggy restaurant, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934181",,EG,,restaurants
0x145997e5dcaebfe7:0x426dcd6d7aaaa6ef,مطعم الشيخ محمد للمشويات,,29.4372995,31.130354,$$,56,Moderately expensive,['Barbecue restaurant'],,9 Photos,,,,"C4PJ+W49 مطعم الشيخ محمد للمشويات, Giza - Luxor Rd, Tamiya, Faiyum Governorate 2966011",,EG,,restaurants
0x14585baf9aed5329:0xc8733f9d6c660cb2,Sachi Park St,,30.0249595,31.0113658,,756,,['Restaurant'],"{'Saturday': '2\u202fPM–12\u202fAM', 'Sunday': '2\u202fPM–12\u202fAM', 'Monday': '2\u202fPM–12\u202fAM', 'Tuesday': '2\u202fPM–12\u202fAM', 'Wednesday': '2\u202fPM–12\u202fAM', 'Thursday': '2\u202fPM–1\u202fAM', 'Friday': '2\u202fPM–1\u202fAM'}",697+ Photos,012 78666185,,,"Sachi Park St, Park St, El-Bostan, First Al Sheikh Zayed, Giza Governorate 12651",,EG,,restaurants
0x145823527cb1fc73:0x94dee58cd722bdb1,Brunch & Cake Lake View,https://www.brunchandcake.com,30.0243389,31.4537953,$$$$,4007,Very expensive,['Restaurant'],"{'Saturday': '9\u202fAM–12\u202fAM', 'Sunday': '9\u202fAM–12\u202fAM', 'Monday': '9\u202fAM–12\u202fAM', 'Tuesday': '9\u202fAM–12\u202fAM', 'Wednesday': '9\u202fAM–12\u202fAM', 'Thursday': '9\u202fAM–12\u202fAM', 'Friday': '9\u202fAM–12\u202fAM'}",1565+ Photos,,"[['https://foh.solutions/reservation-form/brunch-and-cake', 'foh.solutions', None, None, ',AOvVaw3phYrMheuBBf3yJUV_HE4x,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCK0HKBA,']]",,"Brunch & Cake Lake View, Lake View El, N Teseen St, New Cairo 1, Cairo Governorate 11835",,EG,,restaurants
0x145841d721b42e35:0x26d27e1b13c12d5e,Sapporo Japanese Restaurant,https://www.marriott.com,30.0392184,31.2199591,,652,,"['Japanese restaurant', 'Teppanyaki restaurant']","{'Saturday': '5\u202fPM–12\u202fAM', 'Sunday': '5\u202fPM–12\u202fAM', 'Monday': '5\u202fPM–12\u202fAM', 'Tuesday': '5\u202fPM–12\u202fAM', 'Wednesday': '5\u202fPM–12\u202fAM', 'Thursday': '5\u202fPM–1\u202fAM', 'Friday': '3\u202fPM–1\u202fAM'}",606+ Photos,010 22216883,"[['https://www.eat2eat.com/SWBooking/Pages/Reservation.aspx?relId=NAA4ADYAOQA=&lang=0&pro=0&src=GM', 'eat2eat.com', None, None, ',AOvVaw3CpX9uSPkjmkVmcccWDzca,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCN0HKBQ,'], ['https://wa.me/+201022216883', 'wa.me', None, None, ',AOvVaw21U9ZLzzQ3zcEFu-6UKslS,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCN4HKBU,']]",,"Sapporo Japanese Restaurant, Galae Square, Ad Doqi A, Dokki, Giza Governorate 3750412",,EG,,restaurants
0x14599f0028b15755:0xa79d71586ed4fcd0,Twister Restaurant,,29.4737854,30.9531786,,,,['Fast food restaurant'],,,,,,"FXF3+G77 Twister Restaurant, Madinet Tameyah, Tamiya, Faiyum Governorate 2970281",,EG,,restaurants
0x1459710e837ef2f9:0x7e5781b71db3199a,قرية اللؤلؤة السياحية,,29.4689244,30.7796211,,1,,['Restaurant'],"{'Saturday': '8\u202fAM–4\u202fAM', 'Sunday': '8\u202fAM–4\u202fAM', 'Monday': '8\u202fAM–4\u202fAM', 'Tuesday': '8\u202fAM–4\u202fAM', 'Wednesday': '8\u202fAM–4\u202fAM', 'Thursday': '8\u202fAM–4\u202fAM', 'Friday': '8\u202fAM–4\u202fAM'}",55+ Photos,010 94777495,,,"قرية اللؤلؤة السياحية, مدخل, As Saeedeyah, Sinnuris, Faiyum Governorate 2955740",,EG,,restaurants
0x14583e1f1b3964d9:0x1890c624dcbb4327,ESCĀ,https://www.escahospitality.com,30.0877619,31.3338351,$$$$,685,Very expensive,"['Restaurant', 'Bar']","{'Saturday': '4\u202fPM–1\u202fAM', 'Sunday': '4\u202fPM–1\u202fAM', 'Monday': '4\u202fPM–1\u202fAM', 'Tuesday': '4\u202fPM–1\u202fAM', 'Wednesday': '4\u202fPM–1\u202fAM', 'Thursday': '4\u202fPM–1\u202fAM', 'Friday': '4\u202fPM–1\u202fAM'}",403+ Photos,010 11155776,"[['https://www.escacairo.com/reservations', 'escacairo.com', None, None, ',AOvVaw1oQTtLd6sZiorDDD8DdDqp,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCM8IKBQ,']]",,"ESCĀ, 4 Al Badeya, Almazah, Heliopolis, Cairo Governorate 4461025",,EG,,restaurants
0x145971726d9f83d9:0xfbfd40d02fa194ed,مطعم و كافيه الروضة,,29.4691995,30.7686423,,77,,['Izakaya restaurant'],"{'Saturday': '12\u202fPM–3\u202fAM', 'Sunday': '12\u202fPM–3\u202fAM', 'Monday': '12\u202fPM–3\u202fAM', 'Tuesday': '12\u202fPM–3\u202fAM', 'Wednesday': '12\u202fPM–3\u202fAM', 'Thursday': '12\u202fPM–3\u202fAM', 'Friday': '12\u202fPM–3\u202fAM'}",59+ Photos,,,,"FQ99+MFC مطعم و كافيه الروضة, As Saeedeyah, Sinnuris, Faiyum Governorate 2955740",,EG,,restaurants
0x145841ab6edafaef:0x9d37d671603f9ff8,KAMALA,https://www.sofitel.accor.com,30.0654215,31.2277672,,43,,['Asian restaurant'],"{'Saturday': '12–5\u202fPM', 'Sunday': '12–5\u202fPM', 'Monday': '12–5\u202fPM', 'Tuesday': '12–5\u202fPM', 'Wednesday': '12–5\u202fPM', 'Thursday': '12–5\u202fPM', 'Friday': '12–5\u202fPM'}",67+ Photos,02 25808000,,,"KAMALA, 1191 Nile Corniche, Souq Al ASR, Bulaq, Cairo Governorate 4311103",,EG,,restaurants
0x14584f97fe10e445:0xc7c2ae11fc163a10,Blue Restaurant & Lounge,https://www.facebook.com,29.952771,31.0867914,,118,,"['Buffet restaurant', 'Lounge', 'Restaurant']","{'Saturday': '10\u202fAM–3\u202fAM', 'Sunday': '10\u202fAM–3\u202fAM', 'Monday': '10\u202fAM–3\u202fAM', 'Tuesday': '10\u202fAM–3\u202fAM', 'Wednesday': '10\u202fAM–3\u202fAM', 'Thursday': '10\u202fAM–3\u202fAM', 'Friday': '10\u202fAM–3\u202fAM'}",69+ Photos,010 33338282,,,"X33P+4P3 Blue Restaurant & Lounge, بعد مدخل البوابة الرابعة, داخل محطة وقود شيل اوت, El Wahat Rd, 6th of October City (2), Giza Governorate",,EG,,restaurants
0x14583d36077b6585:0x784e387dea344e93,Yana,https://www.kempinski.com,30.0604335,31.4191965,,43,,"['Asian fusion restaurant', 'Asian restaurant']","{'Saturday': '1\u202fPM–12\u202fAM', 'Sunday': '1\u202fPM–12\u202fAM', 'Monday': '1\u202fPM–12\u202fAM', 'Tuesday': 'Closed', 'Wednesday': '1\u202fPM–12\u202fAM', 'Thursday': '1\u202fPM–12\u202fAM', 'Friday': '1\u202fPM–12\u202fAM'}",113+ Photos,010 97111151,,,"Yana, Ring Rd, Second New Cairo, Cairo Governorate 11477",,EG,,restaurants
0x14583d641ea59ccb:0xf0bb0eac65381139,Reif Kushiyaki 5A,https://www.reifkushiyakiegypt.com,30.0092597,31.4024008,,271,,['Japanese restaurant'],"{'Saturday': '12\u202fPM–1\u202fAM', 'Sunday': '12\u202fPM–12\u202fAM', 'Monday': '12\u202fPM–12\u202fAM', 'Tuesday': '12\u202fPM–12\u202fAM', 'Wednesday': '12\u202fPM–12\u202fAM', 'Thursday': '12\u202fPM–1\u202fAM', 'Friday': '12\u202fPM–1\u202fAM'}",531+ Photos,012 80446862,,,"Reif Kushiyaki 5A, 5A By The Waterway Developments, New Cairo 3, Cairo Governorate 4720113",,EG,,restaurants
0x14583d6203259987:0x17c3f6a70d2e4c2e,Nişantaşi Cairo Festival City Mall,https://www.nisantasi-int.com,30.0283965,31.4090701,$$$,8652,Expensive,['Turkish restaurant'],"{'Saturday': '10\u202fAM–1\u202fAM', 'Sunday': '10\u202fAM–12\u202fAM', 'Monday': '10\u202fAM–12\u202fAM', 'Tuesday': '10\u202fAM–12\u202fAM', 'Wednesday': '10\u202fAM–12\u202fAM', 'Thursday': '10\u202fAM–1\u202fAM', 'Friday': '10\u202fAM–1\u202fAM'}",2585+ Photos,012 22533336,"[['https://www.nisantasi.com.eg/our-vision', 'nisantasi.com.eg', None, None, ',AOvVaw39H710u4-fep_xveQvYywM,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCM4KKBI,']]",,"Nişantaşi Cairo Festival City Mall, Mall The Village, New Cairo 1, Cairo Governorate 4730020",,EG,,restaurants
0x145815a8fe456ae1:0x2d615669cd01cc58,Fayruz Lebanese Restaurant,https://www.widget.servmeco.com,30.072351,31.3480106,,1260,,['Restaurant'],"{'Saturday': '1\u202fPM–1\u202fAM', 'Sunday': '1\u202fPM–1\u202fAM', 'Monday': '1\u202fPM–1\u202fAM', 'Tuesday': '1\u202fPM–1\u202fAM', 'Wednesday': '1\u202fPM–1\u202fAM', 'Thursday': '1\u202fPM–1\u202fAM', 'Friday': '1\u202fPM–1\u202fAM'}",455+ Photos,02 24800009,"[['https://widget.servmeco.com/?oid=1366', 'servmeco.com', None, None, ',AOvVaw0ZsKrEB1K0vxJmZz16c0vs,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCPwKKBQ,']]",,"Fayruz Lebanese Restaurant, Omar Ibn El-Khattab, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11737",,EG,,restaurants
0x14584f911b1f260b:0x4ee1f49d324c6b26,931 restaurant,,29.9813431,31.1066934,,13,,['Restaurant'],"{'Saturday': '12\u202fPM–2\u202fAM', 'Sunday': '12\u202fPM–2\u202fAM', 'Monday': '12\u202fPM–2\u202fAM', 'Tuesday': '12\u202fPM–2\u202fAM', 'Wednesday': '12\u202fPM–2\u202fAM', 'Thursday': '12\u202fPM–2\u202fAM', 'Friday': '12\u202fPM–2\u202fAM'}",4 Photos,010 93179227,,,"X4J4+GMP 931 restaurant, Al Haram, Giza Governorate 3510602",,EG,,restaurants
0x14584f55755680b1:0x30034f3c50207e51,Oriental Restaurant & Cafe,,29.9735971,31.1419651,,58,,['Restaurant'],,3 Photos,,,,"Oriental Restaurant & Cafe, 13 Gamal Abd El-Nasir, Nazlet El-Semman, Al Haram, Giza Governorate 3514501",,EG,,restaurants
0x1459792157ca022d:0xd00058f43b491ae5,Zero's Restaurant,,29.3188057,30.8555857,,22,,['Fast food restaurant'],"{'Saturday': '11\u202fAM–2\u202fAM', 'Sunday': '11\u202fAM–2\u202fAM', 'Monday': '11\u202fAM–2\u202fAM', 'Tuesday': '11\u202fAM–2\u202fAM', 'Wednesday': '11\u202fAM–2\u202fAM', 'Thursday': '11\u202fAM–3\u202fAM', 'Friday': '11\u202fAM–3\u202fAM'}",23 Photos,010 29070000,,,"Zero's Restaurant, Qesm Al Fayoum, Faiyum, Faiyum Governorate 2934370, Faiyum Governorate 63511",,EG,,restaurants
0x14599fc6237f074d:0xc54a4e5c578263dd,محلات اولاد الشيخ احمد للادوات الصحيه,,29.4816718,31.0427916,,4,,['Egyptian restaurant'],"{'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours'}",,011 21515161,,,"F2JV+M47 محلات اولاد الشيخ احمد للادوات الصحيه, طريق سويرس, Monshaat Doctor El-Gammal, Tamiya, Faiyum Governorate 2974207",,EG,,restaurants
0x14584f00398a122f:0x8406e76e1c8579ec,La una café & restaurant,,29.9536067,31.085425,,29,,['Restaurant'],"{'Saturday': '9\u202fAM–3\u202fAM', 'Sunday': '9\u202fAM–3\u202fAM', 'Monday': '9\u202fAM–3\u202fAM', 'Tuesday': '9\u202fAM–3\u202fAM', 'Wednesday': '9\u202fAM–3\u202fAM', 'Thursday': '9\u202fAM–3\u202fAM', 'Friday': '9\u202fAM–3\u202fAM'}",43+ Photos,,,,"X33P+C5V La una café & restaurant, Chillout, El Wahat Rd, Al Haram, Giza Governorate 3510001",,EG,,restaurants
0x14583e26a870f6b7:0xf0688ccb9bacc1ad,SACHI Heliopolis,https://www.sachirestaurant.com,30.0878716,31.3247099,$$$,1666,Expensive,"['Fine dining restaurant', 'Bar']","{'Saturday': '2\u202fPM–12\u202fAM', 'Sunday': '2\u202fPM–12\u202fAM', 'Monday': '2\u202fPM–12\u202fAM', 'Tuesday': '2\u202fPM–12\u202fAM', 'Wednesday': '2\u202fPM–12\u202fAM', 'Thursday': '2\u202fPM–1\u202fAM', 'Friday': '2\u202fPM–1\u202fAM'}",826+ Photos,012 80902028,"[['https://www.sachirestaurant.com/reservations', 'sachirestaurant.com', None, None, ',AOvVaw1Ya_G34zUGypI-ch3L95AT,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCOkMKBQ,']]",,"SACHI Heliopolis, 3, Cleopatra St،, Korba،El-Montaza،, Heliopolis, Cairo Governorate",,EG,,restaurants
